id,name,avgRating,address-,cuisines,cost for two
76241,Pohewala,4.2,Medical Square; Nagpur; Ayodhya Nagar,['Maharashtrian'  'Fast Food'  'Chinese'  'North Indian'],25000
246928,Treat At Street Cafe,--,SOMWAR BAJAR ROAD; OPP. HANSWENI GUEST HOUSE; MALIPURA; SITABULDI; NAGPUR 440012; District - Nagpur-1; STATE - Maharashtra - 440012,['Cafe'  'Fast Food'],20000
228403,Royal Street,4.3,PLOT NO. 112; INDIRA NAGAR; JATTARODI NO. 1; NAGPUR; District - Nagpur-1; STATE - Maharashtra,['Fast Food'  'Pizzas'  'Beverages'  'American'  'Bakery'  'Italian'  'Snacks'],20000
81068,Jay Ambika Bhojnalay,4.1,30; NIT Shopping Complex; Near Bust Station; Gandhibagh; Nagpur,['North Indian'],40000
238988,The Food Smugglers,3.8,block no. 715/A/11; main road; kachipura; ramdaspeth; Nagpur,['North Indian'  'Biryani'  'Chinese'],20000
161788,Coelum Cafe,3.9,lat 4; Plot 67; Indrayani Appartments; Behind Big Bazaar; Ramdaspeth; Nagpur,['Fast Food'  'Beverages'  'Italian'  'Continental'],15000
73117,Hotel Lucky,3.6,Shyam Talkis Road; Chiknis Park; Gandhibagh; Nagpur,['Biryani'  'Mughlai'  'North Indian'],30000
89761,New Amar Prem,--,Vadra Road; Sitabuldi; Nagpur,['Fast Food'],30000
64959,Hotel Ganesh,--,Variety Sq; Main Rd; Opp. eternity mall;sitabuldi,['Indian'],60000
59252,The Kukku's Sandwiches,4,Plot No. 06; Near Tilak Putala; Behind Surbhi Girls Hostel; Tilak Nagar; Nagpur,['Fast Food'  'Chinese'  'Desserts'  'Beverages'],25000
76814,Swad,--,No.31; NIT Complex; Ganesh Peth; Gandhibagh; Nagpur,['North Indian'  'Biryani'],40000
194938,Airport Centre Point - Golden Harvest,4.2,Shop No G1 - G3 & B1 - B3 Girish Heights Near Lic Square Kamptee Road Sadar; Kamptee Rd; Mohan Nagar; Nagpur; Maharashtra 440001; India,['North Indian'  'Indian'  'Chinese'],25000
56325,The Kathi Crossing,4.3,heritage Hotel; Ravindranath Tagore Road; Civil Lines; Collector's Circle; Nagpur,['Fast Food'],20000
113393,Sandwich Adda,3.9,Shop NO 6B/N.I.T Complex ; Ganeshpeth ; Nagpur,['Fast Food'  'Beverages'  'Pizzas'  'Snacks'],20000
60708,Suryakant Saoji,4,Telephone Exchange Chowk; Old Mangalwari; Nagpur,['Indian'  'North Indian'],30000
64722,Hotel Bartania,3.7,Chindwada Road; Near Anjuman College; Sadar; Nagpur,['Mughlai'],50000
148928,Spicy Omelette & Chicken,4.3,Mohammed Ali Road; Near Jama Masjid; Mominpura; Nagpur,['Fast Food'],30000
224045,Hunger Breaker's,--,NIT Complex; Ganeshpeth; Gandhibagh; Nagpur,['Fast Food'],30000
78746,Babbu Food Plaza,--,136; First Floor; VCA Complex; Sadar; Nagpur,['North Indian'  'Biryani'],60000
103936,Anaya Bakery,4.2,Plot 17; Teka Naka; Kamatee Road; Jaripatka; Nagpur,['Bakery'],20000
69963,Oye Orange,3.9,Oye Orange Kitchen; Near Samrat Guest House; Bajeria Chowk; Nagpur - 440018,['Biryani'  'Mughlai'],30000
59308,Novelty Pure Veg Restaurant,3.7,Opposite Chandralok Building; C.A Road; Gandhibagh; Nagpur,['North Indian'  'Thalis'  'Beverages'],30000
56457,Zinea,3.9,56;chitnavis centre;temple road;civil lines,['Fast Food'  'Pizzas'  'Pastas'],40000
164902,Biryani & Curry House,--,Hotel Lucky; Fawwara Chowk; Chitnis Park; Gandhibagh; Nagpur; Maharashtra; India,['Mughlai'],40000
59397,JD's Kitchen - The Rice Bowl Co.,4.1,Kamlakar Palace; oppo. NIT garden; near shankar nagar square; Nagpur,['Indian'  'Combo'],20000
72118,Hotel Centre Point,4.1,Central Bazar Road; Hotel Centre Point; Ramdaspeth; Nagpur,['North Indian'  'Chinese'],120000
185720,Snacks Corner,--,Near kokane master house; rambag; hanuman nagar; ayodhya nagar; nagpur,['Fast Food'],15000
78131,Mashallah Biryani & Kebabs,3.7,Oye Orange Kitchen; Near Samrat Guest House; Bajeria Chowk; Nagpur - 440018,['Biryani'],30000
117118,Hotel Al Yaseen,3.7,Oppoite Police Naka; Mominpura; Nagpur,['North Indian'],40000
63972,Foodway,3.6,Plot No.5; Hanuman Nagar; Above Roopam Traders; Medical Square,['North Indian'  'Maharashtrian'],30000
128682,Hotel Aalishan,3.7,Mominpura Square; Opposite Islamia school; Mominpura; Nagpur,['North Indian'  'Fast Food'  'Chinese'],25000
169766,Kumm Me Bumm,--,OPPOSITE HPCL DEPO; WARDHA ROAD; KHAPRI; DIST. NAGPUR; District - Nagpur-2; STATE - Maharashtra,['Indian'],15000
56382,Krishnum Food Plaza,4.2,Mount Road; Sadar; Nagpur,['Indian'  'Fast Food'],40000
123070,The Indian Spices,--,Residency Road Beside Moti Mahal,['North Indian'],20000
178930,Made In China,3.9,Oye Orange Kitchen; Near Samrat Guest House; Bajeria Chowk; Nagpur - 440018,['Chinese'],30000
91461,Foody Moody,3.7,Juni mangalwari Chandrasekhar Azad chouk  Bujade mohalla  Near patimay mandir Nagpur 440008,['Chinese'  'North Indian'  'Biryani'],40000
175289,Cafe Panda,--,plot no. 113; utkhana; near ambedkar school; nagpur,['Cafe'  'Fast Food'],25000
157007,Haldiram Express 24X7,4.2,Plot No. 214; W.H.C. Shankar Nagar Square; Dharampeth; Nagpur,['South Indian'],20000
69725,Chill N Grill,3.9,1st & 4th Floor; Poonam Arcade; Residency Road; Sadar; Nagpur,['North Indian'  'Continental'  'Chinese'  'Thai'],70000
136250,Lassiwala,--,Oye Orange Kitchen; Near Samrat Guest House; Bajeria Chowk; Nagpur - 440018,['Beverages'],15000
60928,Carnations,--,33; Limbanna Enclave; Mount Road; Sadar; Nagpur,['Fast Food'  'Indian'  'Chinese'],80000
119425,Jashn-E-Biryani,3.7,Oye Orange Kitchen; Near Samrat Guest House; Bajeria Chowk; Nagpur - 440018,['Biryani'  'North Indian'  'Mughlai'],25000
114683,Chinese King Specialist,3.6,Traffic Park VIP Road; Dharampeth,['Fast Food'  'Chinese'  'North Indian'],40000
114763,Biryani Specialist,--,traffic park vip road,['Fast Food'  'Chinese'  'North Indian'],60000
83263,Babbu's Star,2.4,central avenue road; dosar bhawan; behind traffic police chowky; bajaria,['Biryani'  'Mughlai'  'North Indian'],30000
222489,Haji Hotel,4,HOUSE NO. 331; NEAR KAMAL BABA DARGAH GATE; MOHAMMAD ALI ROAD; MOMINPURA; NAGPUR; NAGPUR URBAN; NAGPUR-1 (MAHARASHTRA)-440018,['Indian'],30000
145849,Night Out Cafe,--,Traffic Park VIP Rd Near Shyam Medical Dharampeth,['Fast Food'],40000
63974,Shankar Bhojnalaya,3.7,Opp Hotel Centre Point; Ramdaspeth,['Indian'  'Thalis'  'Chinese'],25000
89300,Thali Wala,2.9,Plot no 31; Opposite Center Point Hotel; Ramdaspeth; Nagpur,['North Indian'  'Fast Food'],20000
135476,Maggi Hut,--,N-116 karimabad Housing society; opp Poonam chambers ; byramji town; Nagpur. 440013,['North Indian'  'Fast Food'  'Chinese'],25000
63755,Shreenath Pavbhaji Pulao,4,Plot No.7; Bhgwaghar Layout; Behind Children's Traffic Park; Dharampeth; Nagpur,['Fast Food'],20000
141507,La Pasta Fresca Deli,4.3,Plot 2; Bhagvaghar Layout; opposite Taori Marketing; Dharampeth; Nagpur; Maharashtra 440010,['Fast Food'],30000
217153,Hydrabadi Biryani,--,Plot 176; Chandan Nagar; Near Hanuman Nagar; Medical Square Nagpur; Ayodhya Nagar; Nagpur,['North Indian'],20000
129413,The Food City,--,Plot No.5; Hanuman Nagar; Above Roopam Traders; Medical Square,['North Indian'  'Fast Food'  'Chinese'],25000
127054,The Food Town,--,Medical Square; Nagpur,['North Indian'  'Fast Food'  'Chinese'],25000
240843,Night Kingdom,--,House No.81 Chandra Krishna Niwas Gavalipura VIP Road Dharampeth Nagpur; Nagpur-1; Maharashtra - 440010,['Indian'],25000
243216,4K' s Roof Top,--,PLOT NO 213;MESHRAM CHOWK;RESIDANCY ROAD; NAGPUR 440016 ; District - Nagpur-1; STATE - Maharashtra,['Beverages'  'Juices'],20000
190450,Nagpuri Saoji Bhojanalay,--,PLOT NO 176; CHANDAN NAGAR; NEAR HANUMAN NAGAR; MEDICAL SQUARE; NAGPUR,['Indian'],20000
